time_s	gforce_x	gforce_y	gforce_z	lin_acc_x	lin_acc_y	lin_acc_z
0.003	0.01	0.04	0.99	-0.12	-0.07	-0.11
0.003	0.01	0.04	0.99	-0.03	0.04	-0.07
0.004	0.0	0.04	0.98	-0.03	0.04	-0.07
0.004	0.0	0.04	0.98	-0.06	0.01	-0.17
0.021	-0.01	0.02	1.01	-0.06	0.01	-0.17
0.021	-0.01	0.02	1.01	-0.15	-0.15	0.06
0.023	-0.01	0.03	1.0	-0.15	-0.15	0.06
0.024	-0.01	0.03	1.0	-0.16	-0.09	-0.04
0.034	0.01	0.05	1.0	-0.16	-0.09	-0.04
0.034	0.01	0.05	1.0	0.04	0.09	0.0
0.043	-0.02	0.01	1.0	0.04	0.09	0.0
0.044	-0.02	0.01	1.0	-0.27	-0.25	0.02
0.054	0.0	0.03	1.0	-0.27	-0.25	0.02
0.054	0.0	0.03	1.0	-0.1	-0.11	0.01
0.063	-0.01	0.03	1.01	-0.1	-0.11	0.01
0.064	-0.01	0.03	1.01	-0.22	-0.1	0.13
0.073	-0.02	0.02	1.01	-0.22	-0.1	0.13
0.074	-0.02	0.02	1.01	-0.24	-0.15	0.11
0.083	0.01	0.04	0.93	-0.24	-0.15	0.11
0.084	0.01	0.04	0.93	0.07	0.05	-0.7
0.093	0.06	0.07	0.92	0.07	0.05	-0.7
0.094	0.06	0.07	0.92	0.52	0.33	-0.76
0.103	-0.01	0.02	1.04	0.52	0.33	-0.76
0.104	-0.01	0.02	1.04	-0.19	-0.16	0.37
0.113	-0.03	0.04	1.01	-0.19	-0.16	0.37
0.114	-0.03	0.04	1.01	-0.34	0.03	0.12
0.123	0.01	0.06	1.0	-0.34	0.03	0.12
0.124	0.01	0.06	1.0	-0.03	0.25	-0.03
0.133	-0.01	0.04	1.01	-0.03	0.25	-0.03
0.134	-0.01	0.04	1.01	-0.19	0.04	0.08
0.143	-0.02	0.02	1.03	-0.19	0.04	0.08
0.144	-0.02	0.02	1.03	-0.35	-0.19	0.25
0.154	-0.01	0.04	1.01	-0.35	-0.19	0.25
0.154	-0.01	0.04	1.01	-0.17	0.02	0.06
0.171	-0.01	0.03	1.0	-0.17	0.02	0.06
0.171	-0.01	0.03	1.0	-0.19	-0.05	0.04
0.173	-0.01	0.02	1.0	-0.19	-0.05	0.04
0.174	-0.01	0.02	1.0	-0.18	-0.11	0.0
0.184	0.0	0.03	1.01	-0.18	-0.11	0.0
0.184	0.0	0.03	1.01	-0.12	-0.09	0.05
0.194	0.0	0.03	1.01	-0.12	-0.09	0.05
0.195	0.0	0.03	1.01	-0.12	-0.05	0.09
0.203	0.0	0.03	1.01	-0.12	-0.05	0.09
0.204	0.0	0.03	1.01	-0.14	-0.04	0.08
0.213	0.0	0.03	1.01	-0.14	-0.04	0.08
0.214	0.0	0.03	1.01	-0.13	-0.05	0.06
0.223	0.0	0.03	1.0	-0.13	-0.05	0.06
0.224	0.0	0.03	1.0	-0.12	-0.04	0.04
0.234	0.0	0.03	1.01	-0.12	-0.04	0.04
0.234	0.0	0.03	1.01	-0.13	-0.03	0.05
0.245	0.0	0.03	1.01	-0.13	-0.03	0.05
0.245	0.0	0.03	1.01	-0.13	-0.04	0.07
0.254	0.0	0.03	1.01	-0.13	-0.04	0.07
0.254	0.0	0.03	1.01	-0.12	-0.04	0.11
0.263	0.0	0.03	1.01	-0.12	-0.04	0.11
0.264	0.0	0.03	1.01	-0.12	-0.04	0.08
0.273	0.0	0.03	1.01	-0.12	-0.04	0.08
0.274	0.0	0.03	1.01	-0.11	-0.04	0.06
0.286	0.0	0.03	1.01	-0.11	-0.04	0.06
0.287	0.0	0.03	1.01	-0.12	-0.05	0.06
0.295	0.0	0.03	1.01	-0.12	-0.05	0.06
0.295	0.0	0.03	1.01	-0.11	-0.04	0.07
0.303	0.0	0.03	1.01	-0.11	-0.04	0.07
0.304	0.0	0.03	1.01	-0.1	-0.02	0.07
0.313	0.0	0.03	1.01	-0.1	-0.02	0.07
0.314	0.0	0.03	1.01	-0.1	0.0	0.06
0.324	0.0	0.03	1.01	-0.1	0.0	0.06
0.324	0.0	0.03	1.01	-0.09	0.0	0.07
0.334	0.0	0.04	1.01	-0.09	0.0	0.07
0.334	0.0	0.04	1.01	-0.09	0.03	0.06
0.345	0.0	0.04	1.0	-0.09	0.03	0.06
0.346	0.0	0.04	1.0	-0.08	0.02	0.04
0.353	0.0	0.04	1.0	-0.08	0.02	0.04
0.354	0.0	0.04	1.0	-0.07	0.03	0.03
