time_s,gforce_x,gforce_y,gforce_z,ang_vel_x,ang_vel_y,ang_vel_z
0.004,0.2,-0.07,0.94,-0.04,0.01,0.01
0.004,0.28,-0.07,1.05,-0.04,0.01,0.01
0.005,0.28,-0.07,1.05,0.04,-0.02,0.0
0.005,0.31,-0.02,0.94,0.04,-0.02,0.0
0.006,0.31,-0.02,0.94,0.01,0.01,-0.01
0.013,0.21,-0.05,0.9,0.01,0.01,-0.01
0.016,0.21,-0.05,0.9,0.01,0.0,0.01
0.024,0.3,-0.06,1.02,0.01,0.0,0.01
0.025,0.3,-0.06,1.02,0.02,-0.01,0.0
0.029,0.28,-0.05,0.98,0.02,-0.01,0.0
0.035,0.28,-0.05,0.98,0.01,0.02,-0.01
0.039,0.23,-0.04,0.89,0.01,0.02,-0.01
0.045,0.23,-0.04,0.89,-0.03,-0.01,0.01
0.049,0.3,-0.05,1.0,-0.03,-0.01,0.01
0.055,0.3,-0.05,1.0,0.01,-0.01,-0.01
0.058,0.27,-0.06,0.99,0.01,-0.01,-0.01
0.066,0.27,-0.06,0.99,0.01,0.01,0.0
0.069,0.24,-0.03,0.9,0.01,0.01,0.0
0.075,0.24,-0.03,0.9,-0.02,-0.01,0.01
0.078,0.3,-0.05,1.0,-0.02,-0.01,0.01
0.085,0.3,-0.05,1.0,0.0,0.0,-0.01
0.088,0.26,-0.06,0.99,0.0,0.0,-0.01
0.095,0.26,-0.06,0.99,0.01,0.01,0.0
0.106,0.25,-0.04,0.92,0.01,0.01,0.0
0.107,0.25,-0.04,0.92,-0.01,-0.01,0.0
0.109,0.29,-0.05,0.99,-0.01,-0.01,0.0
0.115,0.29,-0.05,0.99,0.0,0.01,-0.01
0.119,0.26,-0.06,0.98,0.0,0.01,-0.01
0.125,0.26,-0.06,0.98,0.01,0.0,0.0
0.129,0.26,-0.04,0.93,0.01,0.0,0.0
0.135,0.26,-0.04,0.93,-0.01,-0.01,0.0
0.139,0.29,-0.05,0.98,-0.01,-0.01,0.0
0.145,0.29,-0.05,0.98,0.0,0.01,0.0
0.149,0.25,-0.05,0.97,0.0,0.01,0.0
0.155,0.25,-0.05,0.97,0.01,0.0,0.0
0.159,0.27,-0.04,0.94,0.01,0.0,0.0
0.165,0.27,-0.04,0.94,-0.01,0.0,0.0
0.169,0.28,-0.05,0.98,-0.01,0.0,0.0
0.175,0.28,-0.05,0.98,0.0,0.01,0.0
0.178,0.25,-0.05,0.97,0.0,0.01,0.0
0.185,0.25,-0.05,0.97,0.0,-0.01,0.0
0.189,0.28,-0.04,0.95,0.0,-0.01,0.0
0.195,0.28,-0.04,0.95,0.0,0.0,0.0
0.207,0.27,-0.05,0.97,0.0,0.0,0.0
0.208,0.27,-0.05,0.97,0.0,0.0,0.0
0.208,0.26,-0.05,0.96,0.0,0.0,0.0
0.215,0.26,-0.05,0.96,0.0,-0.01,0.0
0.218,0.28,-0.04,0.96,0.0,-0.01,0.0
0.225,0.28,-0.04,0.96,0.0,0.0,0.0
0.229,0.27,-0.05,0.97,0.0,0.0,0.0
