time_s,gforce_x,gforce_y,gforce_z
0.00452373,0.3093,-0.0525,1.021
0.005312,0.2328,-0.0055,0.6886
0.014558423,0.3689,-0.1224,1.1645
0.024267923,0.2775,-0.084,1.0607
0.034541538,0.2271,0.044,0.6316
0.044323038,0.4167,-0.1113,1.2078
0.054430769,0.1906,-0.0592,0.9662
0.064230115,0.3194,-0.0072,0.8221
0.075603923,0.3492,-0.0759,1.0805
0.084221,0.2074,-0.0752,0.8449
0.094589269,0.3668,-0.039,1.1195
0.104336999,0.2647,-0.0145,0.8231
0.114310538,0.3012,-0.1545,1.0473
0.124466076,0.3101,0.0226,0.9702
0.134235499,0.2797,-0.0886,0.915
0.144194846,0.2927,-0.0569,0.9354
0.155483999,0.3133,-0.0271,1.0848
0.164243923,0.2884,-0.0657,0.8243
0.174127538,0.3001,-0.0503,0.9871
0.184143192,0.3132,-0.0926,1.0783
0.194301153,0.268,-0.0048,0.8152
0.205247884,0.3447,-0.1038,1.1
0.214835807,0.241,-0.0393,0.8721
0.224318153,0.3465,-0.0453,0.9747
0.234453884,0.2698,-0.0486,0.9571
0.244342307,0.2709,-0.0672,0.9785
0.255521692,0.3638,-0.0542,1.0307
0.264421192,0.2194,-0.0373,0.7917
0.274348769,0.3458,-0.1031,1.1407
0.284285576,0.2778,-0.0166,0.8614
0.294956653,0.3081,-0.104,0.9687
0.305673884,0.2888,-0.0333,0.9855
0.314689384,0.2952,-0.0434,0.968
0.324330538,0.3095,-0.0795,0.963
0.334414153,0.2631,-0.0316,0.9097
0.344340538,0.3605,-0.0944,1.075
0.35547973,0.2358,0.007,0.8228
0.364342999,0.3255,-0.107,1.0651
0.374390153,0.2963,-0.0668,0.9568
0.384386999,0.2789,-0.0009,0.8328
0.394523961,0.3305,-0.1219,1.1457
0.405097384,0.2442,-0.0024,0.8423
0.414447345,0.3671,-0.0843,0.9751
0.424852845,0.23,-0.0542,0.9785
0.434392461,0.3186,-0.0563,0.9918
0.444397845,0.3213,-0.0575,0.9604
0.455292422,0.2436,-0.0458,0.8385
0.464158768,0.3533,-0.0823,1.1504
0.474360422,0.2619,-0.0006,0.8611
0.484409768,0.3174,-0.1184,1.0009
0.494552499,0.289,-0.0282,0.9461
0.506092461,0.305,-0.0883,0.9725
0.514221576,0.277,-0.0384,0.8851
0.525662845,0.302,-0.0508,1.0671
0.534258115,0.311,-0.0625,0.9607
0.544774615,0.2643,-0.0358,0.8278
0.556280768,0.3398,-0.0762,1.1597
0.564522768,0.3354,-0.037,0.9761
0.574509422,0.2871,-0.1071,1.0311
0.58452723,0.2522,0.0117,0.8439
0.597875538,0.3819,-0.0855,1.0888
0.605940807,0.1946,-0.0638,0.8829
0.614353499,0.3638,-0.0426,1.0046
0.624483691,0.3006,-0.0649,0.9734
0.634371884,0.2325,-0.0614,0.8229
0.644428268,0.3919,-0.0529,1.1765
0.655694499,0.2134,-0.0316,0.7967
0.664411307,0.3419,-0.1151,1.0558
0.674726845,0.2944,-0.0214,0.9354
0.685088461,0.2601,-0.071,0.9441
0.695800499,0.3362,-0.054,0.9658
0.714606691,0.268,-0.0217,0.9781
0.71631023,0.3254,-0.1035,0.9748
0.728320614,0.2784,0.0053,0.8466
0.734934884,0.3117,-0.093,1.1465
0.744968191,0.2646,-0.0431,0.849
0.757097922,0.3359,-0.0514,0.978
0.765062191,0.2576,-0.1099,1.0071
0.774625999,0.2897,0.0327,0.9008
0.784989153,0.3568,-0.1054,1.0136
0.797905768,0.2046,-0.0335,0.9135
0.815669845,0.3906,-0.0491,1.0831
0.81782473,0.2392,-0.0318,0.8274
0.82803873,0.2954,-0.0912,1.0024
0.834897884,0.3413,-0.0578,1.0114
0.845026999,0.2456,-0.0281,0.8487
0.858019307,0.332,-0.0904,1.0827
0.865005037,0.2682,-0.0039,0.9086
0.87515273,0.3252,-0.1099,0.9707
0.885228999,0.2679,-0.0002,0.9295
0.897278614,0.3291,-0.0704,1.0776
0.912233884,0.2709,-0.0184,0.855
0.914851768,0.2945,-0.0897,0.9616
0.924799307,0.3213,-0.0693,1.0081
0.93482873,0.2499,-0.0126,0.8361
0.944565076,0.34,-0.0729,1.1421
0.956948845,0.2482,-0.0279,0.8794
0.965086191,0.3398,-0.0476,0.9296
0.97480646,0.2762,-0.0661,1.0116
0.984559076,0.2725,-0.0446,0.893
0.994319537,0.3658,-0.0572,1.0921
1.010710191,0.2084,-0.0283,0.8013
1.018435268,0.3474,-0.0937,1.1052
1.02695546,0.2833,-0.0235,0.8965
1.034518922,0.2965,-0.066,0.9401
1.044420768,0.3189,-0.068,1.0281
1.054970576,0.2571,-0.002,0.9327
1.064544653,0.3363,-0.1143,0.9439
1.074557345,0.2603,-0.016,0.9547
1.084437345,0.3299,-0.1013,1.0465
1.094280037,0.2614,0.0241,0.8412
1.10931723,0.3103,-0.0963,1.0872
1.114776076,0.2943,-0.0673,0.8931
1.124382076,0.3007,-0.0045,0.889
1.134372076,0.3027,-0.1071,1.1016
1.14444596,0.2558,-0.0131,0.8527
1.154781999,0.376,-0.0823,1.0204
1.16436396,0.1969,-0.0594,0.919
1.17450496,0.3561,-0.0557,1.0188
1.184484691,0.3012,-0.0451,0.9608
1.197826576,0.2376,-0.0667,0.8383
1.210385999,0.3847,-0.0646,1.1695
1.214520383,0.2244,-0.021,0.8108
1.224571576,0.3371,-0.1201,1.0269
1.235144729,0.2888,-0.0452,0.9414
1.244843499,0.2725,-0.0563,0.9426
1.254339653,0.3143,-0.0699,0.97
1.264818114,0.2768,-0.0385,0.9452
1.274281729,0.3358,-0.079,1.0169
1.28448796,0.2564,-0.0138,0.84
1.29448096,0.3275,-0.0966,1.13
1.304185614,0.2722,-0.036,0.8526
1.314561383,0.3318,-0.0737,0.9834
1.324770691,0.2695,-0.0945,0.9838
1.334714114,0.2879,0.0076,0.9532
1.344411806,0.342,-0.1076,0.9945
1.355864652,0.2334,-0.0514,0.8868
1.364421422,0.3731,-0.0788,1.077
1.374270576,0.2494,-0.0296,0.8188
1.384333037,0.3152,-0.1019,1.0561
1.394393075,0.3139,-0.0717,0.9282
1.40575296,0.2805,-0.0691,0.9764
1.414414768,0.2812,-0.0991,0.9781
1.424560306,0.3286,-0.1224,0.9732
1.434319037,0.2554,-0.021,0.8991
1.444304422,0.3563,-0.1156,1.0583
1.456409037,0.2636,-0.0018,0.8456
1.464287652,0.2967,-0.1167,1.0484
1.474316499,0.3205,-0.0794,0.9492
1.484939652,0.2653,-0.0319,0.8752
1.494341268,0.3292,-0.1184,1.0807
1.506392729,0.2449,-0.0126,0.8766
1.514264306,0.3668,-0.0837,0.9927
1.524855998,0.2309,-0.0446,0.9652
1.534403306,0.3076,-0.0553,0.9382
1.544278383,0.3567,-0.0574,1.0336
1.555962498,0.2022,-0.0419,0.7934
1.564815806,0.375,-0.0557,1.1956
1.574332729,0.2566,-0.0406,0.8378
1.584706075,0.3043,-0.0715,0.9505
1.594677345,0.3211,-0.0668,1.0408
1.604236652,0.2509,0.0155,0.9355
1.614428768,0.339,-0.1165,0.9522
1.624404114,0.2588,-0.0127,0.9475
1.63425046,0.3413,-0.0977,1.0059
1.644842114,0.2478,0.015,0.8425
1.654272768,0.3044,-0.0806,1.1217
1.664311537,0.2835,-0.0352,0.8611
1.674519652,0.3015,-0.0261,0.9927
1.684497614,0.2803,-0.0881,0.9478
1.694601037,0.2729,0.0145,0.9601
1.705393344,0.3406,-0.0871,1.0117
1.714165383,0.2179,-0.0508,0.8599
1.724339344,0.3706,-0.0556,1.0958
1.736761652,0.2482,-0.0606,0.8805
1.749743921,0.2961,-0.0542,0.8909
1.754479037,0.3623,-0.0636,1.1628
1.764329537,0.2081,-0.0236,0.7903
1.774428037,0.3856,-0.0947,1.0595
1.784444114,0.2671,-0.0536,0.9619
1.794512191,0.2895,-0.0277,0.8931
1.804499806,0.3417,-0.0804,1.0364
1.814347037,0.2496,-0.0534,0.8842
1.824424114,0.372,-0.0618,1.0556
1.83857846,0.2349,0.0005,0.8469
1.844304306,0.325,-0.1112,1.1003
1.854347037,0.3028,-0.0175,0.8719
1.86430896,0.283,-0.0635,0.9712
1.874354075,0.3066,-0.0941,0.9645
1.884478844,0.2742,0.0199,0.9586
1.894284806,0.3178,-0.1027,1.0006
1.907930883,0.2476,-0.0401,0.8898
1.914475229,0.3431,-0.0553,1.0865
1.924444383,0.238,-0.0534,0.8292
1.934368421,0.3194,-0.0715,0.9597
1.94436369,0.3079,-0.08,1.0867
1.954864344,0.229,-0.0265,0.7965
1.964286075,0.3749,-0.1018,1.0925
1.974234498,0.2161,-0.0771,0.9075
1.986163229,0.329,-0.0198,0.9096
1.994194537,0.3033,-0.0845,1.0457
2.008205306,0.2149,-0.0522,0.8809
2.014407844,0.4044,-0.0517,1.0694
2.02439869,0.1991,-0.0355,0.8303
2.035781921,0.3236,-0.1274,1.0906
2.044342229,0.3125,-0.0274,0.9004
2.054445152,0.2536,-0.0941,0.9156
2.06443469,0.329,-0.0887,1.0573
2.074820767,0.2565,-0.0007,0.921
2.08737196,0.3282,-0.117,0.9704
2.09506146,0.2728,-0.0068,0.9651
2.110286575,0.3331,-0.0858,1.0275
2.115233883,0.2812,-0.0089,0.8054
2.127652575,0.3127,-0.1022,1.0756
2.134884383,0.3197,-0.0869,0.9679
2.144980844,0.2621,-0.0001,0.8618
2.154632383,0.3608,-0.1306,1.1298
2.164483921,0.2345,-0.0139,0.8466
2.174622575,0.3682,-0.0776,0.9742
2.190835383,0.2884,-0.0589,0.9651
2.195068421,0.275,-0.0794,1.1109
2.205001536,0.4825,-0.0425,0.9882
2.21522446,0.8284,-0.1827,1.3753
2.229200113,0.1268,0.1151,0.6273
2.239520306,1.1782,0.0193,1.359
2.253488959,1.1782,0.0193,1.461
2.25784169,-0.0702,-0.3269,1.461
2.264845613,-0.1631,0.0581,0.8041
2.277837959,0.0588,-0.1542,1.5607
2.291768883,0.1406,-0.0586,0.9626
2.295229921,0.1281,0.0225,0.6553
2.304849844,0.148,-0.2078,1.4005
2.314765652,0.4758,-0.0652,1.0067
2.324751959,0.4494,0.0364,0.6499
2.337017806,0.118,-0.1952,1.0971
2.344730806,0.3635,0.007,1.117
2.356462613,0.5942,-0.0938,1.1948
