time_s	gforce_x	gforce_y	gforce_z
0.009623386	0.0566	0.0236	0.9941
0.012310418	0.0566	0.0236	0.996
0.015452762	0.0488	0.0216	0.996
0.017826147	0.0586	0.0197	1.0175
0.01974172	0.0801	0.0216	1.0195
0.021758023	0.0781	0.0255	0.9745
0.023638752	0.0625	0.0314	0.9491
0.0255237	0.0449	0.0294	0.9687
0.027401773	0.0508	0.0177	1.0097
0.029386565	0.0469	0.0158	1.039
0.031304169	0.0547	0.0177	1.0175
0.033114638	0.0566	0.0197	1.0058
0.034833805	0.0566	0.0255	0.9902
0.036663805	0.0625	0.0294	0.9745
0.038378076	0.0625	0.0255	0.9745
0.040093285	0.0664	0.0255	0.9843
0.041858129	0.0586	0.0236	1.0038
0.043419691	0.0547	0.0216	1.0097
0.047021567	0.0527	0.0197	0.996
0.048594692	0.0547	0.0216	0.9921
0.049949067	0.0586	0.0197	0.9941
0.051263442	0.0586	0.0236	0.9941
0.05731063	0.0625	0.0255	0.996
0.058911724	0.0645	0.0255	0.9882
0.060759224	0.0606	0.0255	0.9863
0.065002402	0.0625	0.0236	0.996
0.079112039	0.0566	0.0236	1.0019
0.080917299	0.0566	0.0216	0.9999
0.082216674	0.0586	0.0236	0.9999
0.083344748	0.0566	0.0216	0.996
0.085187925	0.0566	0.0236	0.9921
0.097522926	0.0606	0.0255	0.9941
0.098713864	0.0586	0.0255	0.9921
0.09980303	0.0547	0.0255	0.9902
0.112685271	0.0547	0.0236	0.996
0.114137146	0.0547	0.0216	0.998
0.115217667	0.0566	0.0236	0.9921
0.116455167	0.0566	0.0236	0.9921
0.117596834	0.0586	0.0236	0.9941
0.122955949	0.0547	0.0255	0.9902
0.124952929	0.0566	0.0236	0.9921
0.128896002	0.0566	0.0255	0.9902
0.134565221	0.0586	0.0236	0.9921
0.138333034	0.0566	0.0255	0.9941
0.141219337	0.0566	0.0255	0.9941
0.145200795	0.0527	0.0236	0.9941
0.151962046	0.0566	0.0216	0.9941
0.153292463	0.0586	0.0216	0.9941
0.157964495	0.0586	0.0236	0.9921
0.161323662	0.0606	0.0236	0.9941
0.181547778	0.0566	0.0255	0.9941
0.182601007	0.0566	0.0255	0.9902
0.18348632	0.0606	0.0255	0.9941
0.184538247	0.0586	0.0255	0.996
0.185549237	0.0566	0.0255	0.996
0.186884706	0.0606	0.0236	0.9941
0.190103977	0.0606	0.0255	0.996
0.194195279	0.0547	0.0197	0.9882
0.219176792	0.0566	0.0236	0.9941
0.220116376	0.0566	0.0255	0.9921
0.221171167	0.0566	0.0236	0.996
0.221888147	0.0586	0.0216	0.998
0.222474657	0.0586	0.0236	0.9941
0.223009709	0.0606	0.0216	0.9941
0.223534241	0.0566	0.0236	0.996
0.236429502	0.0566	0.0236	0.996
0.237554607	0.0566	0.0236	0.9921
0.238229138	0.0606	0.0236	0.996
0.238772836	0.0566	0.0216	0.996
0.252720129	0.0586	0.0216	0.9941
0.253802994	0.0586	0.0236	0.9921
0.25446341	0.0606	0.0236	0.9941
0.25505914	0.0566	0.0236	0.998
0.269203047	0.0566	0.0255	0.9921
0.270112266	0.0566	0.0236	0.9941
0.270824922	0.0586	0.0216	0.9941
0.271703673	0.0547	0.0236	0.9941
0.294709508	0.0606	0.0255	0.9941
0.295780602	0.0566	0.0236	0.996
0.29705404	0.0586	0.0255	0.9921
0.298728415	0.0606	0.0236	0.9921
