time_s	gforce_x	gforce_y	gforce_z	ang_vel_x	ang_vel_y	ang_vel_z
0.003	-0.28	0.5	0.68	-0.59	-0.14	0.38
0.003	-0.22	0.52	0.72	-0.59	-0.14	0.38
0.006	-0.22	0.52	0.72	-0.75	-0.23	0.41
0.01	-0.15	0.55	0.8	-0.75	-0.23	0.41
0.015	-0.15	0.55	0.8	-0.86	-0.25	0.4
0.019	-0.1	0.58	0.84	-0.86	-0.25	0.4
0.025	-0.1	0.58	0.84	-0.91	-0.24	0.35
0.029	-0.05	0.59	0.91	-0.91	-0.24	0.35
0.035	-0.05	0.59	0.91	-0.93	-0.19	0.24
0.039	-0.07	0.59	0.99	-0.93	-0.19	0.24
0.045	-0.07	0.59	0.99	-0.9	-0.08	0.14
0.049	-0.1	0.58	1.04	-0.9	-0.08	0.14
0.055	-0.1	0.58	1.04	-0.85	0.03	0.09
0.059	-0.12	0.54	1.07	-0.85	0.03	0.09
0.065	-0.12	0.54	1.07	-0.8	0.13	0.07
0.069	-0.14	0.5	1.08	-0.8	0.13	0.07
0.076	-0.14	0.5	1.08	-0.79	0.2	0.09
0.08	-0.17	0.49	1.09	-0.79	0.2	0.09
0.097	-0.17	0.49	1.09	-0.82	0.25	0.19
0.097	-0.23	0.52	1.05	-0.82	0.25	0.19
0.098	-0.23	0.52	1.05	-0.9	0.2	0.4
0.101	-0.28	0.54	0.97	-0.9	0.2	0.4
0.106	-0.28	0.54	0.97	-1.02	-0.04	0.71
0.11	-0.3	0.55	0.95	-1.02	-0.04	0.71
0.116	-0.3	0.55	0.95	-1.11	-0.4	1.05
0.122	-0.3	0.59	1.08	-1.11	-0.4	1.05
0.126	-0.3	0.59	1.08	-1.2	-0.48	1.38
0.129	-0.17	0.63	1.11	-1.2	-0.48	1.38
0.136	-0.17	0.63	1.11	-1.38	-0.57	1.61
0.14	0.05	0.76	1.32	-1.38	-0.57	1.61
0.146	0.05	0.76	1.32	-1.34	-0.68	1.51
0.149	0.2	0.8	1.61	-1.34	-0.68	1.51
0.156	0.2	0.8	1.61	-1.09	-0.53	1.24
0.16	0.29	0.8	1.68	-1.09	-0.53	1.24
0.165	0.29	0.8	1.68	-0.81	-0.38	0.94
0.169	0.24	0.77	1.79	-0.81	-0.38	0.94
0.176	0.24	0.77	1.79	-0.5	-0.1	0.75
0.18	0.07	0.69	1.86	-0.5	-0.1	0.75
0.196	0.07	0.69	1.86	-0.21	0.33	0.82
0.196	-0.09	0.64	1.69	-0.21	0.33	0.82
0.197	-0.09	0.64	1.69	0.11	0.7	1.11
0.199	-0.17	0.66	1.54	0.11	0.7	1.11
0.206	-0.17	0.66	1.54	0.44	0.82	1.43
0.209	-0.14	0.66	1.36	0.44	0.82	1.43
0.216	-0.14	0.66	1.36	0.72	0.82	1.68
0.224	-0.07	0.72	1.23	0.72	0.82	1.68
0.226	-0.07	0.72	1.23	0.84	0.72	1.86
0.229	0.03	0.76	1.14	0.84	0.72	1.86
