time;gFx;gFy;gFz;TgF
0.008482462;-0.0352;0.0261;0.9711;0.972
0.010170847;-0.0459;0.027;0.9899;0.991
0.011440539;-0.0596;0.0189;1.0161;1.018
0.017527423;-0.0602;0.0209;1.0018;1.004
0.027215539;-0.0572;0.0176;0.9892;0.991
0.037258847;-0.0573;0.0138;0.9914;0.993
0.046966154;-0.055;0.009;0.9909;0.992
0.056714308;-0.0485;0.0215;0.9732;0.975
0.067752231;-0.047;0.0151;0.9927;0.994
0.07669277;-0.0463;0.0279;0.9926;0.994
0.086643231;-0.052;0.0314;1.009;1.011
0.096654154;-0.0704;0.0059;1.0355;1.038
0.106877193;-0.0632;0.0151;1.0098;1.012
0.119234077;-0.0536;0.021;0.9995;1.001
0.12720727;-0.0511;0.0169;0.9946;0.996
0.136953116;-0.0496;0.0188;0.9908;0.992
0.147000885;-0.049;0.0205;1.0041;1.006
0.157086231;-0.0524;0.0182;1.0128;1.014
0.167490308;-0.0575;0.0169;1.0117;1.013
0.176716;-0.0595;0.0158;1.0034;1.005
0.187041808;-0.059;0.0142;0.9974;0.999
0.196850308;-0.0589;0.0139;1.0046;1.006
0.206897193;-0.059;0.0133;1.0015;1.003
0.226150269;-0.0551;0.0131;1.0111;1.013
0.226994116;-0.0564;0.0153;1.0064;1.008
0.237712308;-0.0557;0.0169;1.0058;1.007
0.2471625;-0.0573;0.0176;1.003;1.005
0.257249269;-0.0552;0.0138;1.0058;1.007
0.271641577;-0.0579;0.016;0.9995;1.001
0.286796231;-0.0574;0.0155;0.9986;1.0
0.296830231;-0.055;0.0142;1.0061;1.008
0.306836692;-0.0573;0.0139;1.0004;1.002
0.318940692;-0.0568;0.0128;1.0034;1.005
0.326701308;-0.0573;0.0151;1.0045;1.006
0.336835423;-0.0584;0.014;1.0056;1.007
0.346759885;-0.0579;0.0129;1.004;1.006
0.356668077;-0.0566;0.0136;1.0012;1.003
0.370129423;-0.0574;0.0139;1.0019;1.004
0.386684385;-0.0578;0.0153;1.0081;1.01
0.39674;-0.0588;0.0154;1.0064;1.008
0.406699654;-0.058;0.0131;1.0087;1.01
0.416688692;-0.06;0.0149;1.0041;1.006
0.426905115;-0.0588;0.0136;1.0057;1.007
0.437662077;-0.0602;0.012;1.0023;1.004
0.447522692;-0.0553;0.0154;0.9836;0.985
0.456805731;-0.053;0.0182;0.9974;0.999
0.468931692;-0.0607;0.0064;1.008;1.01
0.476830385;-0.0501;0.0311;1.0103;1.012
0.487036077;-0.0676;-0.0004;1.0235;1.026
0.497080923;-0.0469;0.0192;1.0074;1.009
0.506833769;-0.0537;0.022;0.9912;0.993
0.516821077;-0.0606;0.0143;1.0245;1.026
0.526828462;-0.0627;0.0068;1.0142;1.016
0.537543923;-0.0528;0.0171;1.0114;1.013
0.547108962;-0.0689;0.0037;1.0374;1.04
0.556778269;-0.0719;0.0075;1.0477;1.05
0.566782731;-0.0616;0.0114;1.0036;1.006
0.576760962;-0.0526;0.0191;0.9417;0.943
0.586979846;-0.0485;0.015;0.9254;0.927
0.596778846;-0.0506;0.014;0.9576;0.959
0.606703692;-0.0475;0.0434;0.9406;0.943
0.616798769;-0.066;0.036;0.9536;0.957
0.627204846;-0.0513;0.0072;1.0704;1.072
0.640062461;-0.0811;0.0072;1.0548;1.058
0.646974654;-0.0636;0.0172;1.0006;1.003
0.657367923;-0.0474;0.0158;1.0065;1.008
0.670207692;-0.0569;0.0001;0.9955;0.997
0.6770875;-0.05;0.0127;1.0074;1.009
0.687057461;-0.0493;0.0291;1.0166;1.018
0.697911538;-0.0574;0.0166;1.0363;1.038
0.707052846;-0.0599;0.0191;1.044;1.046
0.717930308;-0.0559;0.0242;1.0317;1.034
0.726818038;-0.0572;0.0203;1.0304;1.032
0.737793038;-0.0526;0.0131;1.0192;1.021
0.746970154;-0.042;0.0327;0.9858;0.987
0.756876692;-0.0502;0.0061;0.9832;0.985
0.766743577;-0.0462;-0.0011;0.9953;0.996
0.776803884;-0.0439;0.0131;0.9843;0.985
0.786901961;-0.0525;0.0191;0.9975;0.999
0.798988308;-0.0566;0.0039;1.0125;1.014
0.806761423;-0.0545;0.0136;1.0007;1.002
0.817142461;-0.0551;0.0181;1.0019;1.004
0.826898038;-0.0694;-0.0197;1.0293;1.032
0.837862923;-0.0622;0.0038;1.0208;1.023
0.847344154;-0.0525;0.0294;1.0048;1.007
0.857199384;-0.0484;0.0252;0.9995;1.001
0.871254615;-0.0451;0.0279;0.9974;0.999
0.876820577;-0.0495;0.0243;1.0075;1.009
0.886966769;-0.0468;0.0447;1.0068;1.009
0.896915077;-0.0515;0.0327;1.0091;1.011
0.906780307;-0.0645;0.0059;1.0142;1.016
0.917028154;-0.0548;0.0055;1.0105;1.012
0.926814384;-0.0493;0.0145;0.9868;0.988
0.937392154;-0.0483;-0.004;1.0239;1.025
0.946873961;-0.0478;0.0173;1.0018;1.003
0.956900692;-0.0506;0.02;1.0146;1.016
0.967019307;-0.0559;0.0005;0.9946;0.996
0.9772635;-0.0476;0.0118;0.985;0.986
0.987030654;-0.0468;0.0244;0.9765;0.978
0.998934;-0.0583;0.011;1.0158;1.018
1.007394884;-0.0617;0.0333;1.0431;1.045
1.017741577;-0.069;0.012;1.0572;1.06
1.026910538;-0.0548;0.0426;1.0169;1.019
1.038320615;-0.0658;0.038;1.0321;1.035
1.050497077;-0.0779;-0.0144;1.1309;1.134
1.057162423;-0.0851;-0.0258;1.0806;1.084
1.072216653;-0.0583;-0.031;0.988;0.99
1.077314961;-0.0357;0.0026;0.9243;0.925
1.087095384;-0.0414;0.0095;0.9458;0.947
1.099326077;-0.0534;-0.0049;0.9705;0.972
1.106847923;-0.0579;0.0087;0.9677;0.969
1.11706373;-0.0595;0.026;0.9754;0.978
1.126821653;-0.0688;0.0341;1.0278;1.031
1.139517884;-0.0676;0.0331;1.0321;1.035
1.146974;-0.0838;0.0348;1.1283;1.132
1.156963461;-0.113;0.0188;1.169;1.175
1.168388307;-0.0983;0.0337;1.1508;1.155
1.176893846;-0.1134;-0.0103;1.0503;1.056
1.187009576;-0.0666;0.0012;0.9821;0.984
1.196820769;-0.0788;-0.033;0.8613;0.866
1.206715;-0.0694;0.0133;0.8385;0.841
1.217111076;-0.096;-0.0233;0.895;0.9
1.22676023;-0.108;0.0037;0.9667;0.973
1.23815623;-0.1235;0.0131;1.0345;1.042
1.246950076;-0.1649;-0.0268;1.0495;1.063
1.257204423;-0.1167;0.0192;1.0247;1.032
1.266973038;-0.1455;0.0031;1.0232;1.033
1.276714538;-0.1109;-0.0199;0.9944;1.001
1.286873961;-0.1086;0.0428;1.0058;1.013
1.296823499;-0.1443;-0.0545;1.0767;1.088
1.306785269;-0.1399;-0.0315;1.0078;1.018
1.316911038;-0.1287;-0.0208;0.9593;0.968
1.326793153;-0.1233;0.0105;0.9602;0.968
1.341005384;-0.119;0.0645;0.9423;0.952
1.348298961;-0.1268;-0.0004;0.9326;0.941
1.357237846;-0.106;0.0788;0.9678;0.977
1.366895692;-0.1798;-0.0408;0.989;1.006
