time;gFx;gFy;gFz;wx;wy;wz
0.003;-0.05;0.02;0.99;0.0;0.05;0.01
0.004;-0.06;0.02;1.0;0.0;0.05;0.01
0.004;-0.06;0.02;1.0;0.0;0.05;0.01
0.012;-0.06;0.02;1.01;0.0;0.05;0.01
0.013;-0.06;0.02;1.01;0.0;0.06;0.01
0.016;-0.06;0.02;0.99;0.0;0.06;0.01
0.031;-0.06;0.02;0.99;0.0;0.05;0.01
0.031;-0.05;0.03;0.98;0.0;0.05;0.01
0.032;-0.05;0.03;0.98;-0.01;0.04;0.0
0.037;-0.06;0.02;0.99;-0.01;0.04;0.0
0.04;-0.06;0.02;0.99;0.0;0.03;0.0
0.046;-0.06;0.02;0.99;0.0;0.03;0.0
0.05;-0.06;0.02;0.99;0.0;0.02;0.01
0.062;-0.05;0.03;0.99;0.0;0.02;0.01
0.063;-0.05;0.03;0.99;-0.01;0.02;0.0
0.066;-0.07;0.02;1.0;-0.01;0.02;0.0
0.07;-0.07;0.02;1.0;-0.01;0.01;0.0
0.077;-0.04;0.02;0.98;-0.01;0.01;0.0
0.08;-0.04;0.02;0.98;-0.02;0.01;0.0
0.087;-0.06;0.02;0.98;-0.02;0.01;0.0
0.09;-0.06;0.02;0.98;-0.01;0.0;0.0
0.096;-0.07;0.01;0.98;-0.01;0.0;0.0
0.1;-0.07;0.01;0.98;-0.01;-0.02;0.01
0.106;-0.06;0.02;1.02;-0.01;-0.02;0.01
0.11;-0.06;0.02;1.02;-0.01;0.0;0.0
0.116;-0.06;0.02;1.01;-0.01;0.0;0.0
0.121;-0.06;0.02;1.01;-0.01;0.01;0.0
0.126;-0.06;0.02;1.01;-0.01;0.01;0.0
0.131;-0.06;0.02;1.01;-0.01;0.01;0.0
0.138;-0.06;0.02;1.0;-0.01;0.01;0.0
0.14;-0.06;0.02;1.0;-0.01;0.01;0.0
0.146;-0.06;0.02;1.01;-0.01;0.01;0.0
0.15;-0.06;0.02;1.01;0.0;0.01;0.0
0.162;-0.07;0.02;1.0;0.0;0.01;0.0
0.162;-0.07;0.02;1.0;0.0;0.01;0.0
0.166;-0.07;0.01;1.0;0.0;0.01;0.0
0.17;-0.07;0.01;1.0;0.01;0.01;0.0
0.177;-0.05;0.04;1.02;0.01;0.01;0.0
0.18;-0.05;0.04;1.02;0.01;0.02;0.01
0.187;-0.06;0.03;0.99;0.01;0.02;0.01
0.19;-0.06;0.03;0.99;-0.01;0.05;-0.01
0.196;-0.06;0.02;1.0;-0.01;0.05;-0.01
0.2;-0.06;0.02;1.0;0.0;0.03;-0.01
0.208;-0.07;0.02;0.99;0.0;0.03;-0.01
0.21;-0.07;0.02;0.99;0.0;0.03;-0.01
0.217;-0.05;0.03;1.0;0.0;0.03;-0.01
0.22;-0.05;0.03;1.0;0.0;0.03;0.0
0.227;-0.06;0.02;1.01;0.0;0.03;0.0
0.23;-0.06;0.02;1.01;-0.01;0.04;0.0
0.245;-0.06;0.02;0.99;-0.01;0.04;0.0
0.246;-0.06;0.02;0.99;0.0;0.03;0.0
0.246;-0.06;0.03;1.0;0.0;0.03;0.0
0.25;-0.06;0.03;1.0;0.0;0.02;0.0
0.256;-0.06;0.03;1.0;0.0;0.02;0.0
0.261;-0.06;0.03;1.0;0.0;0.02;-0.01
0.267;-0.06;0.02;1.0;0.0;0.02;-0.01
0.27;-0.06;0.02;1.0;0.0;0.01;-0.01
0.276;-0.07;0.02;1.0;0.0;0.01;-0.01
0.28;-0.07;0.02;1.0;0.0;0.02;-0.01
0.286;-0.06;0.03;1.0;0.0;0.02;-0.01
0.29;-0.06;0.03;1.0;0.0;0.02;-0.01
0.296;-0.06;0.02;0.99;0.0;0.02;-0.01
0.3;-0.06;0.02;0.99;0.0;0.02;-0.01
0.306;-0.07;0.02;1.0;0.0;0.02;-0.01
0.31;-0.07;0.02;1.0;0.0;0.02;-0.01
0.316;-0.06;0.02;0.99;0.0;0.02;-0.01
0.32;-0.06;0.02;0.99;0.01;0.02;-0.01
0.326;-0.07;0.02;0.99;0.01;0.02;-0.01
0.33;-0.07;0.02;0.99;0.01;0.01;-0.01
0.344;-0.07;0.02;0.99;0.01;0.01;-0.01
0.345;-0.07;0.02;0.99;0.0;0.0;-0.01
0.346;-0.07;0.02;1.0;0.0;0.0;-0.01
0.35;-0.07;0.02;1.0;0.0;0.0;-0.01
0.356;-0.07;0.02;1.0;0.0;0.0;-0.01
0.36;-0.07;0.02;1.0;0.0;0.0;-0.01
0.366;-0.07;0.02;1.0;0.0;0.0;-0.01
0.37;-0.07;0.02;1.0;0.0;0.0;-0.01
0.376;-0.07;0.02;1.0;0.0;0.0;-0.01
0.38;-0.07;0.02;1.0;0.0;0.0;-0.01
0.386;-0.07;0.02;1.0;0.0;0.0;-0.01
0.39;-0.07;0.02;1.0;0.0;0.0;-0.01
0.396;-0.07;0.02;1.0;0.0;0.0;-0.01
0.4;-0.07;0.02;1.0;0.0;0.0;-0.01
0.406;-0.07;0.02;1.0;0.0;0.0;-0.01
0.411;-0.07;0.02;1.0;0.0;0.0;-0.01
0.416;-0.07;0.02;1.0;0.0;0.0;-0.01
0.42;-0.07;0.02;1.0;0.0;0.0;-0.01
0.426;-0.07;0.02;1.0;0.0;0.0;-0.01
0.43;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.44;-0.06;0.02;1.0;0.0;-0.01;-0.01
0.441;-0.06;0.02;1.0;0.0;-0.01;-0.01
0.448;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.451;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.456;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.46;-0.07;0.02;1.0;0.0;0.0;-0.01
0.467;-0.07;0.02;1.0;0.0;0.0;-0.01
0.471;-0.07;0.02;1.0;0.01;0.0;-0.01
0.476;-0.07;0.02;0.99;0.01;0.0;-0.01
0.481;-0.07;0.02;0.99;0.01;0.0;-0.01
0.494;-0.07;0.02;1.0;0.01;0.0;-0.01
0.498;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.499;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.5;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.511;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.514;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.516;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.522;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.526;-0.07;0.02;0.99;0.0;-0.01;-0.01
0.53;-0.07;0.02;0.99;0.0;-0.01;-0.01
0.537;-0.07;0.02;0.99;0.0;-0.01;-0.01
0.54;-0.07;0.02;0.99;0.0;-0.01;-0.01
0.546;-0.07;0.02;0.99;0.0;-0.01;-0.01
0.552;-0.07;0.02;0.99;0.0;-0.02;-0.01
0.569;-0.07;0.02;1.0;0.0;-0.02;-0.01
0.572;-0.07;0.02;1.0;0.0;-0.02;-0.01
0.573;-0.07;0.03;1.0;0.0;-0.02;-0.01
0.574;-0.07;0.03;1.0;0.0;-0.02;-0.02
0.577;-0.07;0.02;1.0;0.0;-0.02;-0.02
0.581;-0.07;0.02;1.0;0.0;-0.02;-0.02
0.586;-0.07;0.02;1.0;0.0;-0.02;-0.02
0.59;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.596;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.601;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.606;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.611;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.617;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.622;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.626;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.631;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.636;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.641;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.646;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.667;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.668;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.67;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.671;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.672;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.677;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.681;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.687;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.69;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.696;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.701;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.706;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.71;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.718;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.72;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.726;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.73;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.736;-0.07;0.02;1.0;0.0;-0.01;-0.02
0.74;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.746;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.75;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.762;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.764;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.766;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.777;-0.07;0.02;1.0;0.0;-0.01;-0.01
0.778;-0.06;0.02;1.0;0.0;-0.01;-0.01
0.78;-0.06;0.02;1.0;0.0;-0.01;-0.01
0.788;-0.06;0.02;1.0;0.0;-0.01;-0.01
0.79;-0.06;0.02;1.0;0.0;-0.01;-0.01
0.796;-0.07;0.03;1.0;0.0;-0.01;-0.01
0.8;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.806;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.81;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.816;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.821;-0.07;0.03;1.0;0.0;-0.02;-0.02
0.826;-0.07;0.03;1.0;0.0;-0.02;-0.02
0.83;-0.07;0.03;1.0;0.0;-0.01;-0.02
0.836;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.84;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.846;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.85;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.859;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.861;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.866;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.874;-0.06;0.03;1.0;0.01;-0.01;-0.02
0.876;-0.06;0.03;1.0;0.01;-0.01;-0.02
0.88;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.886;-0.06;0.03;1.0;0.0;-0.01;-0.02
0.89;-0.06;0.03;1.0;0.0;-0.01;-0.03
0.896;-0.06;0.03;1.0;0.0;-0.01;-0.03
0.901;-0.06;0.03;1.0;0.0;-0.02;-0.03
0.906;-0.06;0.03;1.0;0.0;-0.02;-0.03
0.91;-0.06;0.03;1.0;0.0;-0.02;-0.03
0.916;-0.06;0.03;1.0;0.0;-0.02;-0.03
0.92;-0.06;0.03;1.0;0.01;-0.01;-0.03
0.926;-0.06;0.03;1.0;0.01;-0.01;-0.03
0.93;-0.06;0.03;1.0;0.0;-0.01;-0.03
0.936;-0.06;0.03;1.0;0.0;-0.01;-0.03
0.94;-0.06;0.03;1.0;0.01;-0.02;-0.03
0.946;-0.06;0.03;1.0;0.01;-0.02;-0.03
0.963;-0.06;0.03;1.0;0.01;-0.02;-0.03
0.964;-0.06;0.03;1.0;0.01;-0.02;-0.03
0.965;-0.06;0.03;1.0;0.01;-0.02;-0.04
0.978;-0.06;0.03;1.0;0.01;-0.02;-0.04
0.98;-0.06;0.03;1.0;0.01;-0.02;-0.04
0.982;-0.06;0.03;1.0;0.01;-0.02;-0.04
0.987;-0.06;0.03;1.0;0.01;-0.02;-0.04
0.99;-0.06;0.03;1.0;0.01;-0.02;-0.04
0.996;-0.06;0.03;1.0;0.01;-0.02;-0.04
1.002;-0.06;0.03;1.0;0.01;-0.01;-0.05
1.006;-0.06;0.03;1.0;0.01;-0.01;-0.05
1.01;-0.06;0.03;1.0;0.01;-0.01;-0.05
1.016;-0.06;0.03;1.0;0.01;-0.01;-0.05
1.02;-0.06;0.03;1.0;0.01;-0.01;-0.05
1.026;-0.06;0.03;1.0;0.01;-0.01;-0.05
1.03;-0.06;0.03;1.0;0.01;-0.02;-0.05
1.037;-0.06;0.03;1.0;0.01;-0.02;-0.05
1.04;-0.06;0.03;1.0;0.01;-0.02;-0.06
1.046;-0.06;0.03;1.0;0.01;-0.02;-0.06
1.06;-0.06;0.03;1.0;0.01;-0.02;-0.06
1.062;-0.06;0.03;1.0;0.01;-0.02;-0.06
1.063;-0.06;0.03;1.0;0.01;-0.02;-0.06
1.066;-0.06;0.03;1.0;0.01;-0.02;-0.06
1.071;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.076;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.08;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.086;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.09;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.096;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.102;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.106;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.111;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.119;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.121;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.126;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.13;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.136;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.14;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.146;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.161;-0.06;0.03;1.0;0.01;-0.01;-0.09
1.163;-0.06;0.03;1.0;0.01;-0.01;-0.09
1.163;-0.06;0.03;1.0;0.01;-0.01;-0.09
