measurement_id,break_index,interval_start_s,interval_end_s,theoretical_change_point_s,source
1,1,66.0,68.0,67.0,observer_declared_interval_median_Witulska_Wylomanska_2022
2,1,43.0,44.0,43.5,observer_declared_interval_median_Witulska_Wylomanska_2022
3,1,72.0,74.0,73.0,observer_declared_interval_median_Witulska_Wylomanska_2022
3,2,132.0,134.0,133.0,observer_declared_interval_median_Witulska_Wylomanska_2022
4,1,48.0,50.0,49.0,observer_declared_interval_median_Witulska_Wylomanska_2022
4,2,79.0,81.0,80.0,observer_declared_interval_median_Witulska_Wylomanska_2022
4,3,109.0,111.0,110.0,observer_declared_interval_median_Witulska_Wylomanska_2022
4,4,139.0,141.0,140.0,observer_declared_interval_median_Witulska_Wylomanska_2022
5,1,85.0,87.0,86.0,observer_declared_interval_median_Witulska_Wylomanska_2022
5,2,214.0,216.0,215.0,observer_declared_interval_median_Witulska_Wylomanska_2022
6,1,49.0,51.0,50.0,observer_declared_interval_median_Witulska_Wylomanska_2022
6,2,179.0,181.0,180.0,observer_declared_interval_median_Witulska_Wylomanska_2022
7,1,56.0,58.0,57.0,observer_declared_interval_median_Witulska_Wylomanska_2022
7,2,211.0,213.0,212.0,observer_declared_interval_median_Witulska_Wylomanska_2022
8,1,103.0,104.0,103.5,observer_declared_interval_median_Witulska_Wylomanska_2022
8,2,197.0,199.0,198.0,observer_declared_interval_median_Witulska_Wylomanska_2022
8,3,279.0,281.0,280.0,observer_declared_interval_median_Witulska_Wylomanska_2022
9,1,91.0,93.0,92.0,observer_declared_interval_median_Witulska_Wylomanska_2022
9,2,149.0,151.0,150.0,observer_declared_interval_median_Witulska_Wylomanska_2022
